Opportunity_ID,Industry,Deal_Size,Sales_Cycle_Days,Status,Close_Date
OPP-1069,Manufacturing,17983.65,53.0,Lost,2023-01-19 00:38:01.416283256
OPP-1070,Retail,8164.11,32.0,Won,2023-01-19 06:54:13.610722144
OPP-1071,IT_Tech,40108.36,75.0,Won,2023-01-19 13:10:25.805161032
OPP-1072,IT_Tech,34907.83,70.0,Won,2023-01-19 19:26:37.999599920
OPP-1073,Retail,10000.98,52.0,Won,2023-01-20 01:42:50.194038807
OPP-1074,Retail,10504.75,44.0,Won,2023-01-20 07:59:02.388477695
OPP-1075,Retail,18922.07,60.0,Won,2023-01-20 14:15:14.582916583
OPP-1076,Retail,10312.93,62.0,Won,2023-01-20 20:31:26.777355471
OPP-1077,IT_Tech,34750.68,81.0,Won,2023-01-21 02:47:38.971794358
OPP-1078,health-care,268864.27,89.0,Lost,2023-01-21 09:03:51.166233246
OPP-1079,IT_Tech,,87.0,Won,2023-01-21 15:20:03.360672134
OPP-1080,Manufacturing,14386.98,54.0,Won,2023-01-21 21:36:15.555111022
OPP-1081,Finance,117026.28,92.0,Lost,2023-01-22 03:52:27.749549910
OPP-1082,health-care,48669.81,76.0,Won,2023-01-22 10:08:39.943988797
OPP-1083,IT_Tech,30973.31,80.0,Won,2023-01-22 16:24:52.138427685
OPP-1084,health-care,45766.43,69.0,Won,2023-01-22 22:41:04.332866573
OPP-1085,health-care,62574.92,90.0,Won,2023-01-23 04:57:16.527305461
OPP-1086,Retail,29710.89,75.0,Lost,2023-01-23 11:13:28.721744348
OPP-1087,Finance,118335.26,73.0,Lost,2023-01-23 17:29:40.916183236
OPP-1088,Manufacturing,55888.38,,Won,2023-01-23 23:45:53.110622124
OPP-1089,health-care,31265.29,69.0,Won,2023-01-24 06:02:05.305061012
OPP-1090,IT_Tech,20423.13,75.0,Lost,2023-01-24 12:18:17.499499900
OPP-1091,Retail,3230.72,42.0,Won,2023-01-24 18:34:29.693938787
OPP-1092,Retail,8913.39,63.0,Won,2023-01-25 00:50:41.888377675
OPP-1093,Finance,129835.29,87.0,Lost,2023-01-25 07:06:54.082816563
OPP-1094,Retail,17300.2,68.0,Lost,2023-01-25 13:23:06.277255451
OPP-1095,health-care,64029.04,93.0,Won,2023-01-25 19:39:18.471694338
OPP-1096,Finance,72158.46,87.0,Lost,2023-01-26 01:55:30.666133226
OPP-1097,health-care,48371.63,75.0,Won,2023-01-26 08:11:42.860572114
OPP-1098,IT_Tech,40230.45,76.0,Won,2023-01-26 14:27:55.055011002
OPP-1099,IT_Tech,53259.91,79.0,Won,2023-01-26 20:44:07.249449890
OPP-1100,IT_Tech,16188.5,72.0,Lost,2023-01-27 03:00:19.443888777
OPP-1101,Finance,87534.53,57.0,Lost,2023-01-27 09:16:31.638327665
OPP-1102,health-care,127958.46,78.0,Lost,2023-01-27 15:32:43.832766553
OPP-1103,Finance,57007.6,58.0,Won,2023-01-27 21:48:56.027205441
OPP-1104,Manufacturing,51552.21,91.0,Lost,2023-01-28 04:05:08.221644329
OPP-1105,IT_Tech,148349.64,82.0,Lost,2023-01-28 10:21:20.416083216
OPP-1106,health-care,68692.43,75.0,Lost,2023-01-28 16:37:32.610522104
OPP-1107,Retail,16263.09,78.0,Won,2023-01-28 22:53:44.804960992
OPP-1108,IT_Tech,25108.74,75.0,Won,2023-01-29 05:09:56.999399880
OPP-1109,IT_Tech,39760.35,60.0,Won,2023-01-29 11:26:09.193838767
OPP-1110,IT_Tech,45712.9,74.0,Won,2023-01-29 17:42:21.388277655
OPP-1111,IT_Tech,40031.47,70.0,Lost,2023-01-29 23:58:33.582716543
OPP-1112,Manufacturing,21810.62,48.0,Won,2023-01-30 06:14:45.777155431
OPP-1113,Retail,14811.82,58.0,Lost,2023-01-30 12:30:57.971594319
OPP-1114,Finance,175837.85,82.0,Lost,2023-01-30 18:47:10.166033206
OPP-1115,Manufacturing,45447.72,73.0,Lost,2023-01-31 01:03:22.360472094
OPP-1116,Retail,21611.78,52.0,Won,2023-01-31 07:19:34.554910982
OPP-1117,IT_Tech,32257.12,86.0,Won,2023-01-31 13:35:46.749349870
OPP-1118,Manufacturing,52836.11,74.0,Lost,2023-01-31 19:51:58.943788757
OPP-1119,Finance,86470.68,,Lost,2023-02-01 02:08:11.138227645
OPP-1120,Retail,8304.43,67.0,Lost,2023-02-01 08:24:23.332666533
OPP-1121,Manufacturing,42585.13,,Won,2023-02-01 14:40:35.527105421
OPP-1122,health-care,40335.29,79.0,Won,2023-02-01 20:56:47.721544309
OPP-1123,IT_Tech,26464.51,66.0,Lost,2023-02-02 03:12:59.915983196
OPP-1124,IT_Tech,39921.25,63.0,Won,2023-02-02 09:29:12.110422084
OPP-1125,health-care,87408.39,86.0,Lost,2023-02-02 15:45:24.304860972
OPP-1126,Retail,7371.55,80.0,Won,2023-02-02 22:01:36.499299860
OPP-1127,Manufacturing,61512.33,85.0,Won,2023-02-03 04:17:48.693738747
OPP-1128,IT_Tech,48339.44,86.0,Won,2023-02-03 10:34:00.888177635
OPP-1129,Finance,47914.0,,Won,2023-02-03 16:50:13.082616523
OPP-1130,health-care,29069.63,52.0,Won,2023-02-03 23:06:25.277055411
OPP-1131,IT_Tech,33777.42,90.0,Lost,2023-02-04 05:22:37.471494299
OPP-1132,IT_Tech,29057.39,96.0,Won,2023-02-04 11:38:49.665933186
OPP-1133,health-care,78267.23,97.0,Lost,2023-02-04 17:55:01.860372074
OPP-1134,Manufacturing,30286.03,68.0,Lost,2023-02-05 00:11:14.054810962
OPP-1135,health-care,21928.14,56.0,Won,2023-02-05 06:27:26.249249850
OPP-1136,Finance,57930.07,63.0,Lost,2023-02-05 12:43:38.443688737
OPP-1137,Retail,11466.56,45.0,Won,2023-02-05 18:59:50.638127625
OPP-1138,health-care,106958.55,79.0,Lost,2023-02-06 01:16:02.832566513
OPP-1139,Manufacturing,25614.15,90.0,Won,2023-02-06 07:32:15.027005401
OPP-1140,Manufacturing,84064.31,77.0,Lost,2023-02-06 13:48:27.221444289
OPP-1141,IT_Tech,13963.19,70.0,Won,2023-02-06 20:04:39.415883176
OPP-1142,health-care,160604.56,100.0,Lost,2023-02-07 02:20:51.610322064
OPP-1143,health-care,63921.34,72.0,Lost,2023-02-07 08:37:03.804760952
OPP-1144,IT_Tech,55814.69,100.0,Lost,2023-02-07 14:53:15.999199840
OPP-1145,IT_Tech,37793.81,97.0,Lost,2023-02-07 21:09:28.193638727
OPP-1146,Finance,144890.46,81.0,Lost,2023-02-08 03:25:40.388077615
OPP-1147,Finance,57964.31,69.0,Won,2023-02-08 09:41:52.582516503
OPP-1148,IT_Tech,20966.68,78.0,Lost,2023-02-08 15:58:04.776955391
OPP-1149,IT_Tech,73884.04,74.0,Lost,2023-02-08 22:14:16.971394279
OPP-1150,Manufacturing,34312.32,59.0,Won,2023-02-09 04:30:29.165833166
OPP-1151,IT_Tech,40569.8,89.0,Lost,2023-02-09 10:46:41.360272054
OPP-1152,IT_Tech,67330.99,92.0,Won,2023-02-09 17:02:53.554710942
OPP-1153,health-care,39372.66,75.0,Won,2023-02-09 23:19:05.749149830
OPP-1154,Manufacturing,48910.41,60.0,Lost,2023-02-10 05:35:17.943588717
OPP-1155,IT_Tech,27039.46,56.0,Won,2023-02-10 11:51:30.138027605
OPP-1156,Finance,67555.07,79.0,Won,2023-02-10 18:07:42.332466493
OPP-1157,Retail,13851.37,60.0,Won,2023-02-11 00:23:54.526905381
OPP-1158,IT_Tech,17152.33,64.0,Won,2023-02-11 06:40:06.721344269
OPP-1159,Retail,9050.56,76.0,Won,2023-02-11 12:56:18.915783156
OPP-1160,health-care,164496.36,92.0,Lost,2023-02-11 19:12:31.110222044
OPP-1161,Finance,124456.9,98.0,Lost,2023-02-12 01:28:43.304660932
OPP-1162,Finance,70432.93,66.0,Lost,2023-02-12 07:44:55.499099820
OPP-1163,Finance,84615.61,75.0,Lost,2023-02-12 14:01:07.693538707
OPP-1164,IT_Tech,31347.15,81.0,Lost,2023-02-12 20:17:19.887977595
OPP-1165,Retail,26325.46,76.0,Won,2023-02-13 02:33:32.082416483
OPP-1166,health-care,64847.16,95.0,Lost,2023-02-13 08:49:44.276855371
OPP-1167,IT_Tech,40778.94,79.0,Won,2023-02-13 15:05:56.471294259
OPP-1168,IT_Tech,64409.41,99.0,Won,2023-02-13 21:22:08.665733146
OPP-1169,Finance,,81.0,Lost,2023-02-14 03:38:20.860172034
OPP-1170,Finance,186329.8,97.0,Lost,2023-02-14 09:54:33.054610922
OPP-1171,IT_Tech,16894.94,64.0,Won,2023-02-14 16:10:45.249049810
OPP-1172,Finance,194421.79,85.0,Lost,2023-02-14 22:26:57.443488697
OPP-1173,IT_Tech,30141.62,83.0,Lost,2023-02-15 04:43:09.637927585
OPP-1174,Finance,63220.3,96.0,Won,2023-02-15 10:59:21.832366473
OPP-1175,IT_Tech,14115.02,75.0,Won,2023-02-15 17:15:34.026805361
OPP-1176,Finance,55665.91,75.0,Won,2023-02-15 23:31:46.221244249
OPP-1177,health-care,39187.62,90.0,Won,2023-02-16 05:47:58.415683136
OPP-1178,Manufacturing,26800.53,45.0,Won,2023-02-16 12:04:10.610122024
OPP-1179,IT_Tech,33905.91,55.0,Won,2023-02-16 18:20:22.804560912
OPP-1180,health-care,129920.11,90.0,Lost,2023-02-17 00:36:34.998999800
OPP-1181,IT_Tech,40287.71,74.0,Won,2023-02-17 06:52:47.193438687
OPP-1182,Manufacturing,42354.85,81.0,Lost,2023-02-17 13:08:59.387877575
OPP-1183,Manufacturing,20999.21,70.0,Lost,2023-02-17 19:25:11.582316463
OPP-1184,IT_Tech,23379.69,77.0,Lost,2023-02-18 01:41:23.776755351
OPP-1185,Finance,215181.04,76.0,Lost,2023-02-18 07:57:35.971194239
OPP-1186,Retail,9250.19,,Lost,2023-02-18 14:13:48.165633126
OPP-1187,Finance,197545.65,97.0,Lost,2023-02-18 20:30:00.360072014
OPP-1188,Finance,63206.55,92.0,Lost,2023-02-19 02:46:12.554510902
OPP-1189,IT_Tech,36357.07,97.0,Won,2023-02-19 09:02:24.748949790
OPP-1190,IT_Tech,62018.16,80.0,Lost,2023-02-19 15:18:36.943388677
OPP-1191,Manufacturing,68593.03,81.0,Lost,2023-02-19 21:34:49.137827565
OPP-1192,Manufacturing,34358.12,54.0,Won,2023-02-20 03:51:01.332266453
OPP-1193,Finance,57933.68,70.0,Lost,2023-02-20 10:07:13.526705341
OPP-1194,health-care,70717.46,75.0,Lost,2023-02-20 16:23:25.721144229
OPP-1195,health-care,89569.89,92.0,Lost,2023-02-20 22:39:37.915583116
OPP-1196,Retail,20861.32,62.0,Won,2023-02-21 04:55:50.110022004
OPP-1197,Manufacturing,36392.39,83.0,Won,2023-02-21 11:12:02.304460892
OPP-1198,Manufacturing,49485.9,,Won,2023-02-21 17:28:14.498899780
OPP-1199,Retail,30308.39,70.0,Lost,2023-02-21 23:44:26.693338667
OPP-1200,Finance,,82.0,Lost,2023-02-22 06:00:38.887777555
OPP-1201,IT_Tech,42439.14,69.0,Lost,2023-02-22 12:16:51.082216443
OPP-1202,IT_Tech,16992.79,63.0,Won,2023-02-22 18:33:03.276655331
OPP-1203,Manufacturing,9746.22,43.0,Won,2023-02-23 00:49:15.471094219
OPP-1204,Finance,92320.86,77.0,Lost,2023-02-23 07:05:27.665533107
OPP-1205,IT_Tech,34633.89,67.0,Won,2023-02-23 13:21:39.859971994
OPP-1206,IT_Tech,28074.27,65.0,Won,2023-02-23 19:37:52.054410882
OPP-1207,Finance,84636.27,84.0,Won,2023-02-24 01:54:04.248849770
OPP-1208,IT_Tech,35235.1,81.0,Lost,2023-02-24 08:10:16.443288658
OPP-1209,IT_Tech,63824.35,80.0,Won,2023-02-24 14:26:28.637727545
OPP-1210,Finance,77008.15,90.0,Won,2023-02-24 20:42:40.832166433
OPP-1211,Finance,46716.19,82.0,Won,2023-02-25 02:58:53.026605321
OPP-1212,Finance,132468.44,79.0,Lost,2023-02-25 09:15:05.221044209
OPP-1213,IT_Tech,32579.37,67.0,Won,2023-02-25 15:31:17.415483097
OPP-1214,Retail,17383.35,72.0,Won,2023-02-25 21:47:29.609921984
OPP-1215,IT_Tech,28603.79,78.0,Lost,2023-02-26 04:03:41.804360872
OPP-1216,health-care,49518.61,92.0,Lost,2023-02-26 10:19:53.998799760
OPP-1217,Retail,13933.96,81.0,Won,2023-02-26 16:36:06.193238648
OPP-1218,Finance,73695.51,,Lost,2023-02-26 22:52:18.387677535
OPP-1219,Retail,,66.0,Won,2023-02-27 05:08:30.582116423
OPP-1220,Finance,62243.7,85.0,Won,2023-02-27 11:24:42.776555311
OPP-1221,Finance,24298.85,83.0,Won,2023-02-27 17:40:54.970994199
OPP-1222,IT_Tech,29249.36,83.0,Won,2023-02-27 23:57:07.165433087
OPP-1223,health-care,117746.71,80.0,Lost,2023-02-28 06:13:19.359871974
OPP-1224,IT_Tech,31298.08,57.0,Won,2023-02-28 12:29:31.554310862
OPP-1225,IT_Tech,32106.32,60.0,Lost,2023-02-28 18:45:43.748749750
OPP-1226,Manufacturing,59467.68,80.0,Lost,2023-03-01 01:01:55.943188638
OPP-1227,health-care,47706.17,79.0,Lost,2023-03-01 07:18:08.137627525
OPP-1228,Manufacturing,16791.0,54.0,Won,2023-03-01 13:34:20.332066413
OPP-1229,Finance,66411.22,78.0,Lost,2023-03-01 19:50:32.526505301
OPP-1230,Retail,10487.22,72.0,Won,2023-03-02 02:06:44.720944189
OPP-1231,Finance,40955.94,60.0,Lost,2023-03-02 08:22:56.915383077
OPP-1232,Finance,65826.18,90.0,Lost,2023-03-02 14:39:09.109821964
OPP-1233,health-care,98213.93,75.0,Lost,2023-03-02 20:55:21.304260852
OPP-1234,IT_Tech,36147.23,88.0,Won,2023-03-03 03:11:33.498699740
OPP-1235,Retail,15576.06,61.0,Won,2023-03-03 09:27:45.693138628
OPP-1236,IT_Tech,89922.53,67.0,Lost,2023-03-03 15:43:57.887577515
OPP-1237,IT_Tech,30594.04,66.0,Lost,2023-03-03 22:00:10.082016403
OPP-1238,Finance,86423.0,78.0,Won,2023-03-04 04:16:22.276455291
OPP-1239,IT_Tech,28152.55,67.0,Lost,2023-03-04 10:32:34.470894179
OPP-1240,Manufacturing,23785.23,67.0,Won,2023-03-04 16:48:46.665333067
OPP-1241,Manufacturing,27106.97,75.0,Lost,2023-03-04 23:04:58.859771954
OPP-1242,Manufacturing,28584.52,69.0,Won,2023-03-05 05:21:11.054210842
OPP-1243,health-care,90733.82,79.0,Lost,2023-03-05 11:37:23.248649730
OPP-1244,IT_Tech,117540.46,61.0,Won,2023-03-05 17:53:35.443088618
OPP-1245,Manufacturing,25386.64,75.0,Won,2023-03-06 00:09:47.637527505
OPP-1246,health-care,56955.46,75.0,Lost,2023-03-06 06:25:59.831966393
OPP-1247,Manufacturing,35187.23,92.0,Won,2023-03-06 12:42:12.026405281
OPP-1248,Manufacturing,44262.78,63.0,Won,2023-03-06 18:58:24.220844169
OPP-1249,Manufacturing,41430.62,52.0,Lost,2023-03-07 01:14:36.415283057
OPP-1250,IT_Tech,69012.84,85.0,Lost,2023-03-07 07:30:48.609721944
OPP-1251,health-care,17054.42,72.0,Won,2023-03-07 13:47:00.804160832
OPP-1252,Manufacturing,11009.73,53.0,Won,2023-03-07 20:03:12.998599720
OPP-1253,health-care,54310.51,57.0,Lost,2023-03-08 02:19:25.193038608
OPP-1254,IT_Tech,62859.04,95.0,Won,2023-03-08 08:35:37.387477495
OPP-1255,Finance,28584.25,88.0,Won,2023-03-08 14:51:49.581916383
OPP-1256,Manufacturing,8072.22,33.0,Won,2023-03-08 21:08:01.776355271
OPP-1257,Finance,103023.01,75.0,Lost,2023-03-09 03:24:13.970794159
OPP-1258,Finance,84642.72,,Won,2023-03-09 09:40:26.165233047
OPP-1259,IT_Tech,21055.05,63.0,Won,2023-03-09 15:56:38.359671934
OPP-1260,Finance,40484.57,68.0,Won,2023-03-09 22:12:50.554110822
OPP-1261,Manufacturing,22362.22,66.0,Lost,2023-03-10 04:29:02.748549710
OPP-1262,IT_Tech,38379.07,60.0,Won,2023-03-10 10:45:14.942988598
OPP-1263,Finance,50222.12,55.0,Lost,2023-03-10 17:01:27.137427485
OPP-1264,Manufacturing,46491.83,87.0,Won,2023-03-10 23:17:39.331866373
OPP-1265,Retail,3205.7,34.0,Lost,2023-03-11 05:33:51.526305261
OPP-1266,Finance,43734.34,77.0,Lost,2023-03-11 11:50:03.720744149
OPP-1267,Retail,7608.13,73.0,Won,2023-03-11 18:06:15.915183037
OPP-1268,health-care,62704.95,59.0,Lost,2023-03-12 00:22:28.109621924
OPP-1269,IT_Tech,27749.58,60.0,Lost,2023-03-12 06:38:40.304060812
OPP-1270,Retail,19908.89,83.0,Won,2023-03-12 12:54:52.498499700
OPP-1271,Retail,5272.88,66.0,Won,2023-03-12 19:11:04.692938588
OPP-1272,Manufacturing,37150.99,66.0,Won,2023-03-13 01:27:16.887377475
OPP-1273,Manufacturing,48010.17,89.0,Lost,2023-03-13 07:43:29.081816363
OPP-1274,Finance,222790.79,100.0,Lost,2023-03-13 13:59:41.276255251
OPP-1275,Finance,54772.33,79.0,Lost,2023-03-13 20:15:53.470694139
OPP-1276,Retail,15712.77,56.0,Won,2023-03-14 02:32:05.665133027
OPP-1277,Finance,24777.28,65.0,Won,2023-03-14 08:48:17.859571914
OPP-1278,Retail,4040.09,61.0,Lost,2023-03-14 15:04:30.054010802
OPP-1279,Retail,20381.59,67.0,Lost,2023-03-14 21:20:42.248449690
OPP-1280,Manufacturing,,,Lost,2023-03-15 03:36:54.442888578
OPP-1281,health-care,148317.07,64.0,Lost,2023-03-15 09:53:06.637327465
OPP-1282,health-care,32079.04,54.0,Lost,2023-03-15 16:09:18.831766353
OPP-1283,IT_Tech,47096.36,77.0,Lost,2023-03-15 22:25:31.026205241
OPP-1284,Finance,224423.62,80.0,Lost,2023-03-16 04:41:43.220644129
OPP-1285,IT_Tech,18000000.0,67.0,Won,2023-03-16 10:57:55.415083017
OPP-1286,health-care,86331.42,58.0,Lost,2023-03-16 17:14:07.609521904
OPP-1287,Finance,73506.83,78.0,Lost,2023-03-16 23:30:19.803960792
OPP-1288,IT_Tech,16556.92,67.0,Won,2023-03-17 05:46:31.998399680
OPP-1289,Finance,164941.11,91.0,Lost,2023-03-17 12:02:44.192838568
OPP-1290,IT_Tech,26757.53,72.0,Won,2023-03-17 18:18:56.387277455
OPP-1291,IT_Tech,46734.67,73.0,Lost,2023-03-18 00:35:08.581716343
OPP-1292,Retail,6114.89,75.0,Won,2023-03-18 06:51:20.776155231
OPP-1293,health-care,36037.82,57.0,Won,2023-03-18 13:07:32.970594119
OPP-1294,IT_Tech,74424.74,84.0,Lost,2023-03-18 19:23:45.165033007
OPP-1295,Finance,59374.41,56.0,Lost,2023-03-19 01:39:57.359471894
OPP-1296,Retail,27629.46,61.0,Won,2023-03-19 07:56:09.553910782
OPP-1297,IT_Tech,34922.43,58.0,Won,2023-03-19 14:12:21.748349670
OPP-1298,Finance,24218.24,80.0,Lost,2023-03-19 20:28:33.942788558
OPP-1299,IT_Tech,56728.6,75.0,Lost,2023-03-20 02:44:46.137227445
OPP-1300,IT_Tech,27039.49,71.0,Won,2023-03-20 09:00:58.331666333
OPP-1301,Finance,111214.19,68.0,Lost,2023-03-20 15:17:10.526105221
OPP-1302,Finance,74245.06,74.0,Won,2023-03-20 21:33:22.720544109
OPP-1303,Finance,28973.27,62.0,Lost,2023-03-21 03:49:34.914982997
OPP-1304,Retail,14503.53,71.0,Won,2023-03-21 10:05:47.109421884
OPP-1305,Manufacturing,108891.97,69.0,Won,2023-03-21 16:21:59.303860772
OPP-1306,Finance,98301.24,96.0,Lost,2023-03-21 22:38:11.498299660
OPP-1307,health-care,70649.71,58.0,Lost,2023-03-22 04:54:23.692738548
OPP-1308,Retail,22872.07,60.0,Won,2023-03-22 11:10:35.887177435
OPP-1309,IT_Tech,40349.5,94.0,Lost,2023-03-22 17:26:48.081616323
OPP-1310,health-care,82927.38,74.0,Lost,2023-03-22 23:43:00.276055211
OPP-1311,IT_Tech,21040.14,53.0,Won,2023-03-23 05:59:12.470494099
OPP-1312,IT_Tech,40819.86,76.0,Won,2023-03-23 12:15:24.664932987
OPP-1313,Manufacturing,60944.67,71.0,Won,2023-03-23 18:31:36.859371874
OPP-1314,Retail,8795.27,53.0,Won,2023-03-24 00:47:49.053810762
OPP-1315,Finance,171905.04,71.0,Lost,2023-03-24 07:04:01.248249650
OPP-1316,health-care,69215.24,111.0,Won,2023-03-24 13:20:13.442688538
OPP-1317,IT_Tech,23297.82,,Lost,2023-03-24 19:36:25.637127425
OPP-1318,IT_Tech,59803.29,53.0,Lost,2023-03-25 01:52:37.831566313
OPP-1319,IT_Tech,31464.11,90.0,Won,2023-03-25 08:08:50.026005201
OPP-1320,Finance,115348.0,88.0,Lost,2023-03-25 14:25:02.220444089
OPP-1321,Retail,11546.3,56.0,Won,2023-03-25 20:41:14.414882977
OPP-1322,Finance,70551.93,,Lost,2023-03-26 02:57:26.609321864
OPP-1323,IT_Tech,46480.13,83.0,Lost,2023-03-26 09:13:38.803760752
OPP-1324,Manufacturing,42000.99,71.0,Won,2023-03-26 15:29:50.998199640
OPP-1325,Retail,,36.0,Won,2023-03-26 21:46:03.192638528
OPP-1326,Finance,37318.85,95.0,Lost,2023-03-27 04:02:15.387077415
OPP-1327,Finance,127726.43,77.0,Lost,2023-03-27 10:18:27.581516303
OPP-1328,health-care,67556.4,,Lost,2023-03-27 16:34:39.775955191
OPP-1329,IT_Tech,27948.93,87.0,Won,2023-03-27 22:50:51.970394079
OPP-1330,health-care,32365.74,60.0,Won,2023-03-28 05:07:04.164832967
OPP-1331,Retail,7786.38,75.0,Lost,2023-03-28 11:23:16.359271854
OPP-1332,IT_Tech,13214.91,58.0,Won,2023-03-28 17:39:28.553710742
